# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) [arcsec]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky
1,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,3.20796,2.26,89.66,793,93.59,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,-0.0002,-0.00055,-0.01,0.2,0.2
2,K00752.02,CONFIRMED,54.4183827,4.507,874.8,3.02368,2.83,89.57,443,9.11,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,0.00066,-0.00105,0.39,0,0.39
3,K00753.01,CANDIDATE,19.89913995,1.7822,10829,7.29555,14.6,88.96,638,39.3,5853,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436,0.0007,0.0006,-0.025,-0.034,0.042
4,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,0.2208,33.46,67.09,1395,891.96,5805,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,0.00302,-0.00142,-0.249,0.147,0.289
5,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,1.98635,2.75,85.41,1406,926.16,6031,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,8E-05,-7E-05,0.03,-0.09,0.1
6,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,0.67324,3.9,88.11,835,114.81,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,4E-05,,0.04,-0.07,0.08
7,K00756.02,CONFIRMED,4.13443512,3.1402,686,0.37377,2.77,83.72,1160,427.65,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,-0.00016,,0.25,0.09,0.26
8,K00756.03,CONFIRMED,2.56658897,2.429,226.5,0.48909,1.59,82.17,1360,807.74,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,-4E-05,,-0.33,-0.3,0.45
9,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,0.00485,39.21,60.92,1342,767.22,6227,3.986,0,1.958,1.358,298.86435,42.151569,12.66,0.003032,-0.005549,-4.506,7.71,8.93
10,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,3.6659,5.76,89.92,600,30.75,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.00026,0.00049,0.041,-0.015,0.044
